STATISTIC Label,Quarter,Garda Region,Type of Offence,UNIT,VALUE
Recorded crime incidents,2003Q1,10 Dublin Metropolitan Region,Homicide offences,Number,7
Recorded crime incidents,2003Q1,10 Dublin Metropolitan Region,Murder,Number,4
Recorded crime incidents,2003Q1,10 Dublin Metropolitan Region,Manslaughter,Number,2
Recorded crime incidents,2003Q1,10 Dublin Metropolitan Region,Infanticide,Number,0
Recorded crime incidents,2003Q1,10 Dublin Metropolitan Region,Dangerous driving leading to death,Number,1
Recorded crime incidents,2003Q1,10 Dublin Metropolitan Region,Sexual offences,Number,174
Recorded crime incidents,2003Q1,10 Dublin Metropolitan Region,Rape and sexual assault,Number,154
Recorded crime incidents,2003Q1,10 Dublin Metropolitan Region,Other sexual offences,Number,20
Recorded crime incidents,2003Q1,10 Dublin Metropolitan Region,"Attempts/threats to murder, assaults, harassments and related offences",Number,1072
Recorded crime incidents,2003Q1,10 Dublin Metropolitan Region,Murder-attempt,Number,2
Recorded crime incidents,2003Q1,10 Dublin Metropolitan Region,Threat to kill or cause serious harm,Number,1
Recorded crime incidents,2003Q1,10 Dublin Metropolitan Region,Harassment and related offences,Number,64
Recorded crime incidents,2003Q1,10 Dublin Metropolitan Region,"Assault causing harm, poisoning",Number,408
Recorded crime incidents,2003Q1,10 Dublin Metropolitan Region,Other assault,Number,597
Recorded crime incidents,2003Q1,10 Dublin Metropolitan Region,Dangerous or negligent acts,Number,742
Recorded crime incidents,2003Q1,10 Dublin Metropolitan Region,Dangerous driving causing serious bodily harm,Number,2
Recorded crime incidents,2003Q1,10 Dublin Metropolitan Region,Driving/in charge of a vehicle while over legal alcohol limit,Number,699
Recorded crime incidents,2003Q1,10 Dublin Metropolitan Region,Driving/in charge of a vehicle under the influence of drugs,Number,9
Recorded crime incidents,2003Q1,10 Dublin Metropolitan Region,Endangerment with potential for serious harm/death,Number,7
Recorded crime incidents,2003Q1,10 Dublin Metropolitan Region,"Abandoning a child, child neglect and cruelty",Number,6
Recorded crime incidents,2003Q1,10 Dublin Metropolitan Region,Unseaworthy/dangerous use of boat or ship,Number,0
Recorded crime incidents,2003Q1,10 Dublin Metropolitan Region,False alarm/interference with aircraft or air transport facilities,Number,3
Recorded crime incidents,2003Q1,10 Dublin Metropolitan Region,Endangering traffic offences,Number,16
Recorded crime incidents,2003Q1,10 Dublin Metropolitan Region,Kidnapping and related offences,Number,16
Recorded crime incidents,2003Q1,10 Dublin Metropolitan Region,False imprisonment,Number,12
Recorded crime incidents,2003Q1,10 Dublin Metropolitan Region,Abduction of person under 16 years of age,Number,4
Recorded crime incidents,2003Q1,10 Dublin Metropolitan Region,Human trafficking offences,Number,0
Recorded crime incidents,2003Q1,10 Dublin Metropolitan Region,"Robbery, extortion and hijacking offences",Number,586
Recorded crime incidents,2003Q1,10 Dublin Metropolitan Region,Robbery of an establishment or institution,Number,216
Recorded crime incidents,2003Q1,10 Dublin Metropolitan Region,Robbery of cash or goods in transit,Number,10
Recorded crime incidents,2003Q1,10 Dublin Metropolitan Region,Robbery from the person,Number,339
Recorded crime incidents,2003Q1,10 Dublin Metropolitan Region,Blackmail or extortion,Number,4
Recorded crime incidents,2003Q1,10 Dublin Metropolitan Region,"Carjacking, hijacking/unlawful seizure of aircraft/vessel",Number,17
Recorded crime incidents,2003Q1,10 Dublin Metropolitan Region,Burglary and related offences,Number,2973
Recorded crime incidents,2003Q1,10 Dublin Metropolitan Region,Aggravated burglary,Number,64
Recorded crime incidents,2003Q1,10 Dublin Metropolitan Region,Burglary (not aggravated),Number,2857
Recorded crime incidents,2003Q1,10 Dublin Metropolitan Region,"Possession of an article (with intent to burgle, steal, demand)",Number,52
Recorded crime incidents,2003Q1,10 Dublin Metropolitan Region,Theft and related offences,Number,9178
Recorded crime incidents,2003Q1,10 Dublin Metropolitan Region,Theft/taking of vehicle and related offences,Number,1901
Recorded crime incidents,2003Q1,10 Dublin Metropolitan Region,Theft from person,Number,1029
Recorded crime incidents,2003Q1,10 Dublin Metropolitan Region,Theft from shop,Number,1872
Recorded crime incidents,2003Q1,10 Dublin Metropolitan Region,"Other thefts, handling stolen property",Number,4376
Recorded crime incidents,2003Q1,10 Dublin Metropolitan Region,"Fraud, deception and related offences",Number,387
Recorded crime incidents,2003Q1,10 Dublin Metropolitan Region,Controlled drug offences,Number,629
Recorded crime incidents,2003Q1,10 Dublin Metropolitan Region,Importation of drugs,Number,4
Recorded crime incidents,2003Q1,10 Dublin Metropolitan Region,Cultivation or manufacture of drugs,Number,0
Recorded crime incidents,2003Q1,10 Dublin Metropolitan Region,Possession of drugs for sale or supply,Number,270
Recorded crime incidents,2003Q1,10 Dublin Metropolitan Region,Possession of drugs for personal use,Number,323
Recorded crime incidents,2003Q1,10 Dublin Metropolitan Region,Other drug offences,Number,32
Recorded crime incidents,2003Q1,10 Dublin Metropolitan Region,Weapons and Explosives Offences,Number,240
Recorded crime incidents,2003Q1,10 Dublin Metropolitan Region,"Explosives, chemical weapons offences",Number,1
Recorded crime incidents,2003Q1,10 Dublin Metropolitan Region,Discharging a firearm,Number,25
Recorded crime incidents,2003Q1,10 Dublin Metropolitan Region,Possession of a firearm,Number,45
Recorded crime incidents,2003Q1,10 Dublin Metropolitan Region,Offensive weapons offences (n.e.c.),Number,169
Recorded crime incidents,2003Q1,10 Dublin Metropolitan Region,Fireworks offences,Number,0
Recorded crime incidents,2003Q1,10 Dublin Metropolitan Region,Damage to property and to the environment,Number,3738
Recorded crime incidents,2003Q1,10 Dublin Metropolitan Region,Arson,Number,115
Recorded crime incidents,2003Q1,10 Dublin Metropolitan Region,Criminal damage (not arson),Number,3618
Recorded crime incidents,2003Q1,10 Dublin Metropolitan Region,Litter offences,Number,5
Recorded crime incidents,2003Q1,10 Dublin Metropolitan Region,Public order and other social code offences,Number,3300
Recorded crime incidents,2003Q1,10 Dublin Metropolitan Region,Disorderly conduct,Number,2852
Recorded crime incidents,2003Q1,10 Dublin Metropolitan Region,Trespass offences,Number,211
Recorded crime incidents,2003Q1,10 Dublin Metropolitan Region,Liquor licensing offences,Number,28
Recorded crime incidents,2003Q1,10 Dublin Metropolitan Region,Prostitution offences,Number,39
Recorded crime incidents,2003Q1,10 Dublin Metropolitan Region,"Regulated betting/money, collection/trading offences",Number,25
Recorded crime incidents,2003Q1,10 Dublin Metropolitan Region,Social code offences (n.e.c.),Number,145
Recorded crime incidents,2003Q1,10 Dublin Metropolitan Region,"Offences against government, justice procedures and organisation of crime",Number,1009
Recorded crime incidents,2003Q1,10 Dublin Metropolitan Region,Offences against government and its agents,Number,17
Recorded crime incidents,2003Q1,10 Dublin Metropolitan Region,Organisation of crime and conspiracy to commit crime,Number,3
Recorded crime incidents,2003Q1,10 Dublin Metropolitan Region,Perverting the course of justice,Number,17
Recorded crime incidents,2003Q1,10 Dublin Metropolitan Region,"Offences while in custody, breach of court orders",Number,972
Recorded crime incidents,2003Q1,20 North Western Region,Homicide offences,Number,5
Recorded crime incidents,2003Q1,20 North Western Region,Murder,Number,1
Recorded crime incidents,2003Q1,20 North Western Region,Manslaughter,Number,2
Recorded crime incidents,2003Q1,20 North Western Region,Infanticide,Number,0
Recorded crime incidents,2003Q1,20 North Western Region,Dangerous driving leading to death,Number,2
Recorded crime incidents,2003Q1,20 North Western Region,Sexual offences,Number,136
Recorded crime incidents,2003Q1,20 North Western Region,Rape and sexual assault,Number,131
Recorded crime incidents,2003Q1,20 North Western Region,Other sexual offences,Number,5
Recorded crime incidents,2003Q1,20 North Western Region,"Attempts/threats to murder, assaults, harassments and related offences",Number,888
Recorded crime incidents,2003Q1,20 North Western Region,Murder-attempt,Number,0
Recorded crime incidents,2003Q1,20 North Western Region,Threat to kill or cause serious harm,Number,1
